country,city,year,month,day,value
84,1034,2022,4,16,3.0
40,759,2022,5,25,59.0
40,206,2022,4,8,212.03
84,1515,2022,4,13,6.0
29,974,2022,5,17,7.0
40,73,2022,4,15,54.8
40,206,2022,5,16,251.06
40,1146,2022,4,29,500.0
40,161,2022,5,14,124.1
40,160,2022,4,13,241.0
14,1172,2022,5,16,230.0
88,1087,2022,5,10,58.98
40,1466,2022,4,29,200.5
40,206,2022,4,28,106.49
10,1722,2022,4,23,23.0
40,728,2022,4,21,133.4
84,1851,2022,5,24,3.5
40,1151,2022,4,8,265.0
40,245,2022,5,14,366.28
40,805,2022,4,4,111.0
40,372,2022,3,30,376.6
40,593,2022,5,4,500.0
68,921,2022,5,1,51.0517
78,1157,2022,5,5,320.0
40,1082,2022,4,6,129.0
40,808,2022,5,6,65.82
86,730,2022,4,28,500.0
40,1624,2022,4,13,305.0
40,564,2022,3,30,87.4
60,44,2021,9,23,323.95
14,1797,2022,5,12,98.0
68,812,2022,4,13,60.3191
84,1609,2022,4,22,3.6
40,1579,2022,4,12,80.0
40,1466,2022,4,23,216.59
40,593,2022,5,4,500.0
40,1437,2022,4,16,67.54
40,161,2022,3,30,242.37
40,160,2022,1,31,233.0
40,213,2022,4,8,204.0
40,848,2022,5,8,105.0
40,1016,2022,4,7,92.71
40,1101,2022,5,4,29.0
40,759,2022,4,15,51.0
84,797,2022,4,11,5.0
40,705,2022,4,6,500.0
40,705,2022,5,24,500.0
40,1437,2022,5,21,7.76
68,906,2022,4,21,50.7627
40,274,2022,5,12,58.0
40,614,2022,5,5,315.0
40,474,2022,4,27,68.0
40,1151,2022,5,20,136.0
40,640,2022,5,4,500.0
40,160,2022,4,7,229.0
40,245,2022,5,14,366.28
84,1842,2022,4,17,3.3
