country,city,year,month,day,value
40,1088,2022,4,17,135.0
40,1151,2022,4,2,207.0
8,1941,2022,4,9,2.74
40,1151,2022,4,5,201.0
40,274,2022,3,30,230.0
29,1191,2022,5,6,5.0
78,1157,2022,5,22,258.0
40,206,2022,3,30,204.72
40,1325,2022,4,8,108.53
40,1084,2022,5,21,134.0
40,1152,2022,4,17,222.69
40,823,2022,5,15,0.0
40,1326,2022,4,26,217.2
40,372,2022,4,5,139.4
84,993,2022,4,5,13.0
76,1622,2015,9,25,282.9
40,1081,2022,5,20,271.07
40,1624,2022,4,10,156.0
43,1585,2022,4,2,3.3
4,1653,2022,5,15,1.19
40,1088,2022,4,1,500.0
84,1512,2022,5,4,6.0
40,1192,2022,4,7,201.9
40,1826,2022,5,13,33.0
79,387,2022,4,27,77.0
40,160,2022,4,9,415.0
40,848,2022,5,2,500.0
84,1774,2022,4,19,6.8
68,657,2022,1,3,2.05028
40,206,2022,4,14,228.9
14,394,2022,5,17,234.0
40,1803,2022,5,13,52.0
41,159,2022,5,24,211.0
40,823,2022,4,4,203.1
43,57,2022,5,24,500.0
40,696,2022,4,9,239.0
68,1860,2022,5,5,13.37
40,155,2022,4,24,55.0
67,947,2022,4,7,408.0
63,619,2022,5,20,462.044356
84,300,2022,3,30,4.7
40,160,2022,4,7,229.0
40,823,2022,5,11,74.22
40,876,2022,5,18,57.58
40,562,2022,4,6,283.7
84,327,2022,5,21,6.1
40,77,2022,4,20,109.67
84,1460,2022,4,4,2.0
84,1767,2022,5,18,6.0
84,1225,2022,4,25,4.0
84,494,2022,4,16,2.7
84,465,2022,4,13,11.6
84,54,2022,5,26,3.1
40,49,2022,5,18,123.3
40,1088,2022,4,17,135.0
65,988,2022,4,28,115.56
40,482,2016,11,9,241.0
68,1680,2022,5,23,1.4
68,1405,2022,4,23,19.77
84,527,2022,5,7,10.5
40,1146,2022,5,7,500.0
40,213,2022,3,31,260.0
84,411,2022,4,13,11.0
40,1146,2022,4,29,500.0
40,100,2022,4,5,108.0
40,482,2016,11,9,241.0
0,503,2022,5,8,204.0
84,676,2020,6,8,8.3
40,1313,2022,4,7,49.52
40,204,2022,4,3,166.0
40,696,2022,4,28,253.0
84,72,2022,4,29,4.1
40,696,2022,4,2,216.0
40,482,2022,4,27,357.0
84,1330,2022,4,1,1.7
40,821,2022,5,6,215.9
29,1883,2020,6,11,8.0
40,206,2022,4,9,215.07
84,924,2022,5,5,2.0
40,213,2022,4,18,119.0
40,1896,2022,4,6,114.8
40,274,2022,4,12,272.0
40,596,2022,4,2,195.4
40,562,2022,3,31,283.0
40,482,2016,11,9,241.0
70,771,2022,4,3,2.62905093
84,110,2022,4,5,14.1
40,367,2022,4,2,18.03
40,1147,2022,4,16,92.0
40,160,2022,4,6,297.0
40,161,2022,3,30,242.37
40,207,2022,5,20,167.9
63,619,2022,5,20,462.044356
40,562,2022,5,19,275.7
40,206,2022,5,21,231.73
40,1084,2022,4,7,280.8
88,405,2022,4,13,25.699
14,1546,2022,5,19,71.0
67,1336,2022,3,30,238.0
40,509,2022,5,2,40.91
43,328,2022,5,13,12.21
10,1692,2022,4,28,17.0
40,562,2022,5,19,275.7
40,96,2022,5,12,212.0
15,2053,2020,1,15,279.0
7,1019,2022,5,4,7.0045
40,562,2022,4,13,214.0
3,1251,2022,5,11,12.40999984
40,562,2022,4,26,132.6
84,731,2022,4,18,5.0
10,1694,2022,5,19,4.0
40,753,2022,4,13,40.0
77,1761,2022,4,29,14.574
40,161,2022,4,3,151.94
40,1466,2022,4,2,142.03
84,1594,2022,4,20,1.0
84,12,2022,4,3,7.0
40,696,2022,4,8,240.0
40,1466,2022,4,9,213.27
67,947,2022,4,7,408.0
40,372,2022,4,16,212.0
40,1317,2022,4,4,76.23
40,45,2022,5,10,29.55
